date,week,time,weather,station_id,station_name,common_name,species_code,count,distance_band,notes
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Blue Jay,BLJA,1,0-25,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Blue Jay,BLJA,1,50-100,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Northern Cardinal,NOCA,3,0-25,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,American Crow,AMCR,2,50-100,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Song Sparrow,SOSP,1,50-100,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Carolina Wren,CARW,1,50-100,
2026-09-12,1,8:10,clear,S08,Old Corn Field,Gray Catbird,GRCA,4,0-25,
2026-09-12,1,8:10,clear,S08,Old Corn Field,Gray Catbird,GRCA,2,25-50,
2026-09-12,1,8:10,clear,S08,Old Corn Field,Northern Cardinal,NOCA,2,25-50,
2026-09-12,1,8:10,clear,S08,Old Corn Field,Blue Jay,BLJA,1,50-100,
2026-09-12,1,8:10,clear,S08,Old Corn Field,Downy Woodpecker,DOWO,1,50-100,
2026-09-12,1,8:10,clear,S08,Old Corn Field,American Crow,AMCR,3,>100,
2026-09-12,1,8:10,clear,S08,Old Corn Field,Song Sparrow,SOSP,3,50-100,
2026-09-12,1,8:27,clear,S01,Beach,American Crow,AMCR,3,0-25,
2026-09-12,1,8:27,clear,S01,Beach,American Crow,AMCR,2,50-100,
2026-09-12,1,8:27,clear,S01,Beach,American Crow,AMCR,5,50-100,
2026-09-12,1,8:27,clear,S01,Beach,American Crow,AMCR,2,>100,
2026-09-12,1,8:27,clear,S01,Beach,Fish Crow,FICR,2,50-100,
2026-09-12,1,8:27,clear,S01,Beach,Ring-billed Gull,RBGU,3,50-100,
2026-09-12,1,8:27,clear,S01,Beach,Herring Gull,HERG,5,50-100,
2026-09-12,1,8:27,clear,S01,Beach,Herring Gull,HERG,8,>100,
2026-09-12,1,8:27,clear,S01,Beach,American Oystercatcher,AMOY,1,50-100,
2026-09-12,1,8:27,clear,S01,Beach,Laughing Gull,LAGU,1,0-25,
2026-09-12,1,8:27,clear,S01,Beach,Laughing Gull,LAGU,1,50-100,
2026-09-12,1,8:27,clear,S01,Beach,Song Sparrow,SOSP,1,25-50,
2026-09-12,1,8:27,clear,S01,Beach,Northern Cardinal,NOCA,2,25-50,
